nodeName altName nodeAttribute
comp11742_c1 NA blue
comp11744_c0 NA blue
comp11748_c1 NA blue
comp11749_c0 NA blue
comp1175_c0 NA blue
comp11752_c0 NA turquoise
comp11754_c0 NA blue
comp11757_c0 NA blue
comp11762_c0 NA turquoise
comp11763_c0 NA turquoise
comp11764_c0 NA blue
comp11765_c1 NA turquoise
comp11776_c0 NA turquoise
comp11779_c0 NA yellow
comp1178_c0 NA blue
comp11780_c0 NA blue
comp11781_c0 NA blue
comp11783_c0 NA turquoise
comp11788_c0 NA turquoise
comp11793_c0 NA turquoise
comp11794_c0 NA yellow
comp11795_c0 NA blue
comp11796_c0 NA turquoise
comp11798_c1 NA red
comp11800_c0 NA yellow
comp11807_c1 NA turquoise
comp11817_c0 NA turquoise
comp11818_c0 NA turquoise
comp1182_c0 NA turquoise
comp11820_c0 NA turquoise
comp11821_c0 NA turquoise
comp11826_c0 NA turquoise
comp11828_c0 NA turquoise
comp11829_c0 NA turquoise
comp1183_c0 NA blue
comp11830_c0 NA turquoise
comp11834_c0 NA blue
comp11838_c0 NA blue
comp11839_c0 NA turquoise
comp11841_c0 NA blue
comp11845_c0 NA blue
comp11846_c0 NA turquoise
comp11847_c0 NA blue
comp11848_c1 NA turquoise
comp1185_c0 NA turquoise
comp11852_c0 NA blue
comp11853_c0 NA turquoise
comp11857_c0 NA turquoise
comp11860_c0 NA turquoise
comp11864_c0 NA blue
comp11865_c0 NA turquoise
comp1187_c0 NA turquoise
comp11875_c0 NA turquoise
comp11876_c0 NA turquoise
comp11877_c0 NA red
comp11879_c1 NA turquoise
comp11880_c0 NA turquoise
comp11881_c0 NA yellow
comp11882_c0 NA turquoise
comp11883_c0 NA turquoise
comp11885_c0 NA blue
comp11890_c0 NA turquoise
comp11894_c0 NA turquoise
comp11896_c0 NA turquoise
comp11897_c2 NA blue
comp11899_c0 NA green
comp11904_c0 NA turquoise
comp11907_c1 NA blue
comp1191_c0 NA blue
comp1191_c2 NA turquoise
comp11911_c0 NA blue
comp11915_c0 NA turquoise
comp11916_c0 NA blue
comp11917_c1 NA turquoise
comp11920_c0 NA blue
comp11923_c0 NA blue
comp11925_c0 NA blue
comp1193_c2 NA turquoise
comp11930_c0 NA blue
comp11932_c0 NA blue
comp11933_c0 NA blue
comp11934_c1 NA blue
comp11935_c0 NA turquoise
comp11939_c0 NA blue
comp1194_c2 NA turquoise
comp11943_c0 NA turquoise
comp11945_c0 NA blue
comp11946_c0 NA turquoise
comp11947_c0 NA turquoise
comp11950_c0 NA blue
comp11951_c0 NA black
comp11952_c0 NA blue
comp11954_c0 NA blue
comp1196_c0 NA blue
comp11961_c0 NA turquoise
comp11963_c0 NA blue
comp11965_c0 NA blue
comp11972_c0 NA blue
comp11974_c0 NA blue
comp11975_c1 NA turquoise
comp11976_c0 NA turquoise
comp11977_c2 NA blue
comp11977_c3 NA blue
comp11979_c0 NA turquoise
comp1198_c0 NA blue
comp1198_c1 NA turquoise
comp11983_c0 NA blue
comp11984_c0 NA turquoise
comp11986_c0 NA blue
comp11989_c0 NA turquoise
comp11992_c0 NA turquoise
comp11995_c0 NA turquoise
